epoch,train_loss,train_ppl,val_loss,val_ppl,learning_rate
1,5.038154097069953,154.18514137798977,4.587288876001088,98.22776119822775,0.00029815325108927063
2,4.4168815495007765,82.83755733072958,4.40581317879955,81.9257360350933,0.00029265847744427303
3,4.219245354031984,67.98216246215121,4.337223138174225,76.49482857144582,0.0002836509786282552
4,4.088874865904711,59.67271411412532,4.3109351259932955,74.51013273429314,0.0002713525491562421
5,3.9895557010198153,54.030878165578784,4.29472162832387,73.31180367459666,0.0002560660171779821
6,3.908764531557599,49.8373414596953,4.295762291282841,73.38813626449672,0.000238167787843871
7,3.8401143708519085,46.530795902240634,4.294334306180434,73.28341388800966,0.00021809857496093204
8,3.785416530822772,44.05401659341828,4.302758833207415,73.90339986642108,0.00025036959095382875
9,3.7282878488483955,41.607808286489856,4.311422113922963,74.5464271063159,0.000238167787843871
10,3.678430948256358,39.58423560650114,4.320852097357277,75.2527236273428,0.00022500000000000002
11,3.6343041152466795,37.87548675055213,4.333397653731383,76.2027578070589,0.0002110104964613701
12,3.5950356608737963,36.41699862671569,4.343691368561868,76.99121839732504,0.00019635254915624216
13,3.559860555674459,35.158294178650216,4.358114920710454,78.10975247669526,0.00018118675362266393
14,3.5284519746507823,34.07118371382005,4.368489660901133,78.92433912089183,0.0001656792694901481
15,3.507504274680076,33.364894177214964,4.377129872363823,79.6092165828089,0.0001500000000000001
16,3.4816931804813565,32.514728798726274,4.387821537108222,80.4649380289195,0.00013432073050985205
17,3.4579628784768297,31.752227440265646,4.397397226058274,81.2391461189638,0.00011881324637733612
18,3.4357550584412038,31.054851943464644,4.406055624911773,81.94560101928285,0.00010364745084375793
19,3.416997247643076,30.47776031510533,4.4170932051260685,82.85509222133774,8.898950353863e-05
20,3.3994433403250444,29.947424882830727,4.42368750439721,83.40326892977376,7.500000000000006e-05
21,3.3842619973149204,29.496216394749016,4.430291411078605,83.95587901909117,6.183221215612908e-05
22,3.3706254443183843,29.09671974599604,4.43592217943653,84.4299485614706,4.963040904617134e-05
23,3.3588691559854422,28.756653196042528,4.440470886998782,84.81487049192759,3.85282761783909e-05
24,3.348596965954045,28.462771378826908,4.445190313237613,85.21609404494856,2.8647450843757918e-05
25,3.3399116930314516,28.216634869899014,4.448238670045735,85.47625944240727,2.0096189432334208e-05
26,3.3334008454013766,28.033517431377195,4.451102514069566,85.7214009731987,1.2968181353609862e-05
27,3.3282817173836796,27.890376956655444,4.452259847443909,85.82066664209627,7.341522555726975e-06
28,3.3241326952910653,27.774898892667224,4.452898758881266,85.8755159676404,3.277859889929149e-06
29,3.320980340346135,27.68748041222979,4.45311816342939,85.89435951352047,8.217156947589904e-07
30,3.3194908862545556,27.646271877972588,4.453255866108278,85.90618821132985,0.0
